AW-1-O-1-T-D2,,AW-1-O-1-M-D2,,AW-1-O-1-L-D2,,AW-1-O-2-T-D2,,AW-1-O-2-M-D2,,AW-1-O-2-L-D2,,AW-1-O-3-T-D2,,AW-1-O-3-M-D2,,AW-1-O-3-L-D2,,AW-1-O-4-T-D2,,AW-1-O-4-M-D2,,AW-1-O-4-L-D2,
12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 40.5058' N  36° 16.8475' E
Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark
4.26E+03,3.91E+03,4.25E+03,3.87E+03,4.27E+03,3.86E+03,4.33E+03,3.87E+03,4.40E+03,3.86E+03,4.31E+03,3.92E+03,4.32E+03,3.86E+03,4.30E+03,3.86E+03,4.31E+03,3.91E+03,4.32E+03,3.90E+03,4.30E+03,3.88E+03,4.23E+03,5.22E+03
4.26E+03,3.90E+03,4.28E+03,3.83E+03,4.30E+03,3.86E+03,4.34E+03,3.87E+03,4.41E+03,3.86E+03,4.30E+03,3.90E+03,4.33E+03,3.85E+03,4.30E+03,3.84E+03,4.31E+03,3.87E+03,4.32E+03,3.89E+03,4.34E+03,3.87E+03,4.27E+03,5.32E+03
4.35E+03,3.91E+03,4.34E+03,3.84E+03,4.33E+03,3.85E+03,4.39E+03,3.90E+03,4.45E+03,3.88E+03,4.32E+03,3.88E+03,4.36E+03,3.84E+03,4.34E+03,3.86E+03,4.35E+03,3.93E+03,4.37E+03,3.87E+03,4.37E+03,3.86E+03,4.29E+03,5.36E+03
4.32E+03,3.91E+03,4.33E+03,3.85E+03,4.38E+03,3.84E+03,4.43E+03,3.89E+03,4.47E+03,3.89E+03,4.39E+03,3.87E+03,4.37E+03,3.82E+03,4.36E+03,3.85E+03,4.39E+03,3.90E+03,4.39E+03,3.90E+03,4.39E+03,3.86E+03,4.34E+03,5.43E+03
4.36E+03,3.92E+03,4.35E+03,3.84E+03,4.42E+03,3.86E+03,4.45E+03,3.92E+03,4.51E+03,3.89E+03,4.43E+03,3.86E+03,4.40E+03,3.85E+03,4.39E+03,3.84E+03,4.41E+03,3.93E+03,4.41E+03,3.90E+03,4.41E+03,3.86E+03,4.38E+03,5.47E+03
4.39E+03,3.90E+03,4.40E+03,3.87E+03,4.43E+03,3.85E+03,4.52E+03,3.88E+03,4.55E+03,3.88E+03,4.44E+03,3.88E+03,4.45E+03,3.84E+03,4.45E+03,3.83E+03,4.48E+03,3.90E+03,4.46E+03,3.85E+03,4.43E+03,3.85E+03,4.40E+03,5.64E+03
4.42E+03,3.92E+03,4.43E+03,3.85E+03,4.48E+03,3.89E+03,4.55E+03,3.91E+03,4.62E+03,3.89E+03,4.48E+03,3.90E+03,4.47E+03,3.86E+03,4.48E+03,3.86E+03,4.50E+03,3.92E+03,4.49E+03,3.87E+03,4.52E+03,3.90E+03,4.43E+03,5.89E+03
4.48E+03,3.91E+03,4.43E+03,3.87E+03,4.51E+03,3.86E+03,4.57E+03,3.92E+03,4.63E+03,3.86E+03,4.53E+03,3.87E+03,4.49E+03,3.88E+03,4.50E+03,3.82E+03,4.56E+03,3.92E+03,4.53E+03,3.84E+03,4.56E+03,3.84E+03,4.48E+03,6.17E+03
4.46E+03,3.91E+03,4.49E+03,3.86E+03,4.55E+03,3.84E+03,4.60E+03,3.92E+03,4.68E+03,3.86E+03,4.57E+03,3.87E+03,4.55E+03,3.84E+03,4.52E+03,3.86E+03,4.58E+03,3.92E+03,4.54E+03,3.88E+03,4.59E+03,3.87E+03,4.51E+03,6.36E+03
4.55E+03,3.92E+03,4.52E+03,3.88E+03,4.59E+03,3.82E+03,4.65E+03,3.91E+03,4.73E+03,3.88E+03,4.59E+03,3.88E+03,4.60E+03,3.84E+03,4.59E+03,3.85E+03,4.62E+03,3.92E+03,4.62E+03,3.88E+03,4.61E+03,3.87E+03,4.53E+03,6.42E+03
