"","ID","Location","site_num","Tapping","Tree_num","C_pos.","Device","nm","refl","Tree_ID","r800","NDVI","SR"
"93","DG-1-I-21-T-D2","DG-1",1,"I",21,"T","D2",793,30.621006658115,"DG-1-I-21-T",30.621006658115,0.797731399939135,9.12336445209164
"94","DG-1-I-24-L-D2","DG-1",1,"I",24,"L","D2",793,24.5133673112661,"DG-1-I-24-L",24.5133673112661,0.722594691327438,6.23844518046451
"95","DG-1-I-24-M-D2","DG-1",1,"I",24,"M","D2",793,-58.8203781512605,"DG-1-I-24-M",-58.8203781512605,1.12124213137592,-16.397889352875
"96","DG-1-I-24-T-D2","DG-1",1,"I",24,"T","D2",793,20.3799940496429,"DG-1-I-24-T",20.3799940496429,0.722752084876352,6.38521494660782
"97","DG-1-I-27-L-D2","DG-1",1,"I",27,"L","D2",793,20.095213310564,"DG-1-I-27-L",20.095213310564,0.654906746331467,4.91880316713535
"98","DG-1-I-27-M-D2","DG-1",1,"I",27,"M","D2",793,46.9729326513214,"DG-1-I-27-M",46.9729326513214,0.837421559799123,12.2845865169289
"99","DG-1-I-27-T-D2","DG-1",1,"I",27,"T","D2",793,32.4722499526126,"DG-1-I-27-T",32.4722499526126,0.769978824056856,7.78533303454191
"100","DG-1-I-30-L-D2","DG-1",1,"I",30,"L","D2",793,19.7277163394133,"DG-1-I-30-L",19.7277163394133,0.671880526241813,5.29594613465673
"101","DG-1-I-30-M-D2","DG-1",1,"I",30,"M","D2",793,54.0786403085824,"DG-1-I-30-M",54.0786403085824,0.850335152465105,13.3385051574155
"102","DG-1-I-30-T-D2","DG-1",1,"I",30,"T","D2",793,205.184736639754,"DG-1-I-30-T",205.184736639754,0.931245571446053,31.6906659782597
"103","DG-1-O-1-L-D2","DG-1",1,"O",1,"L","D2",793,13.9539076863529,"DG-1-O-1-L",13.9539076863529,0.699287424424003,5.61942197585907
"104","DG-1-O-1-M-D2","DG-1",1,"O",1,"M","D2",793,20.0277566903985,"DG-1-O-1-M",20.0277566903985,0.795948041021002,8.83226540019625
"105","DG-1-O-1-T-D2","DG-1",1,"O",1,"T","D2",793,95.7275541795666,"DG-1-O-1-T",95.7275541795666,0.961917350747581,45.1602689412273
"106","DG-1-O-2-L-D2","DG-1",1,"O",2,"L","D2",793,32.8375039054734,"DG-1-O-2-L",32.8375039054734,0.868731284136828,14.0773603211052
"107","DG-1-O-2-M-D2","DG-1",1,"O",2,"M","D2",793,-9.77637941167316,"DG-1-O-2-M",-9.77637941167316,2.95831899285297,-2.08812942581751
"108","DG-1-O-2-T-D2","DG-1",1,"O",2,"T","D2",793,-16.3669152294868,"DG-1-O-2-T",-16.3669152294868,1.53253960347972,-4.87956832534319
"109","DG-1-O-3-L-D2","DG-1",1,"O",3,"L","D2",793,31.2843517788202,"DG-1-O-3-L",31.2843517788202,0.888768113901862,16.390847039351
"110","DG-1-O-3-M-D2","DG-1",1,"O",3,"M","D2",793,13.3624859344872,"DG-1-O-3-M",13.3624859344872,0.716740433280382,6.13486871532646
"111","DG-1-O-3-T-D2","DG-1",1,"O",3,"T","D2",793,-151.715642701525,"DG-1-O-3-T",-151.715642701525,1.05570231823188,-41.6604234589904
"112","DG-1-O-4-L-D2","DG-1",1,"O",4,"L","D2",793,13.059640248797,"DG-1-O-4-L",13.059640248797,0.720176666562224,6.22044913967301
"113","DG-1-O-4-M-D2","DG-1",1,"O",4,"M","D2",793,13.7461496863798,"DG-1-O-4-M",13.7461496863798,0.697938572990806,5.60844407310682
"114","DG-1-O-4-T-D2","DG-1",1,"O",4,"T","D2",793,32.1051903114187,"DG-1-O-4-T",32.1051903114187,0.885260196316436,16.6921173262087
"115","DG-1-T-03-L-D2","DG-1",1,"T",3,"L","D2",793,13.3145493491514,"DG-1-T-03-L",13.3145493491514,0.662923913092795,4.88280878626612
"116","DG-1-T-03-M-D2","DG-1",1,"T",3,"M","D2",793,18.1918590622778,"DG-1-T-03-M",18.1918590622778,0.689025974187968,5.42597889055168
"117","DG-1-T-03-T-D2","DG-1",1,"T",3,"T","D2",793,13.4605191614475,"DG-1-T-03-T",13.4605191614475,0.689751964982171,5.37891212891874
"118","DG-1-T-06-L-D2","DG-1",1,"T",6,"L","D2",793,14.6990786753122,"DG-1-T-06-L",14.6990786753122,0.722031947983617,6.10978212558603
"119","DG-1-T-06-M-D2","DG-1",1,"T",6,"M","D2",793,13.3650413179825,"DG-1-T-06-M",13.3650413179825,0.724313009456085,6.2614152300044
"120","DG-1-T-06-T-D2","DG-1",1,"T",6,"T","D2",793,23.6887057097234,"DG-1-T-06-T",23.6887057097234,0.852405191021559,12.3776143080894
"121","DG-1-T-09-L-D2","DG-1",1,"T",9,"L","D2",793,11.226304006769,"DG-1-T-09-L",11.226304006769,0.724960900947466,6.26305839285224
"122","DG-1-T-09-M-D2","DG-1",1,"T",9,"M","D2",793,12.1426955397544,"DG-1-T-09-M",12.1426955397544,0.620145395321432,4.32151833558905
"123","DG-1-T-09-T-D2","DG-1",1,"T",9,"T","D2",793,13.9313433706816,"DG-1-T-09-T",13.9313433706816,0.625802802916145,4.37729898900133
"124","DG-1-T-12-L-D2","DG-1",1,"T",12,"L","D2",793,11.8650721369018,"DG-1-T-12-L",11.8650721369018,0.614382530472333,4.22186052398138
"125","DG-1-T-12-M-D2","DG-1",1,"T",12,"M","D2",793,11.831710529916,"DG-1-T-12-M",11.831710529916,0.609244549450085,4.17054949514075
"126","DG-1-T-12-T-D2","DG-1",1,"T",12,"T","D2",793,11.751058239673,"DG-1-T-12-T",11.751058239673,0.676590456402415,5.20943455886264
"127","DG-1-T-15-L-D2","DG-1",1,"T",15,"L","D2",793,17.0466484268126,"DG-1-T-15-L",17.0466484268126,0.682178881294099,5.24210110942702
"128","DG-1-T-15-M-D2","DG-1",1,"T",15,"M","D2",793,17.92380128522,"DG-1-T-15-M",17.92380128522,0.649059988975375,4.70196739201348
"129","DG-1-T-15-T-D2","DG-1",1,"T",15,"T","D2",793,18.2631590413943,"DG-1-T-15-T",18.2631590413943,0.673710447909007,5.144156242217
"130","DG-1-T-18-L-D2","DG-1",1,"T",18,"L","D2",793,17.8947346103697,"DG-1-T-18-L",17.8947346103697,0.733993854376561,6.46647714593752
"131","DG-1-T-18-M-D2","DG-1",1,"T",18,"M","D2",793,14.9893048128342,"DG-1-T-18-M",14.9893048128342,0.709026114451619,5.87974199563183
"132","DG-1-T-18-T-D2","DG-1",1,"T",18,"T","D2",793,18.1647990483999,"DG-1-T-18-T",18.1647990483999,0.664468452940702,4.93634853258566
"133","DG-1-T-21-L-D2","DG-1",1,"T",21,"L","D2",793,17.3312873189477,"DG-1-T-21-L",17.3312873189477,0.732248598803457,6.44172754100811
