"","ID","Location","site_num","Tapping","Tree_num","C_pos.","Device","nm","refl","Tree_ID","r800","NDVI","SR","MCARI","G","TCARI","SPRI","PRI","SIPI","ARI1","ARI2","CRI1","CRI2"
"43","AW-1-T-03-L-D2","AW-1",1,"T",3,"L","D2",793,0.421464896631224,"AW-1-T-03-L",0.421464896631224,0.687080604777664,5.41644025382661,0.130698360000415,1.87766958555328,0.208106536402091,0.97595983380544,0.0221163245760162,0.675622703725167,-0.0351523477361857,-0.0148154806049763,3.68492957574435,3.64977722800816
"44","AW-1-T-03-M-D2","AW-1",1,"T",3,"M","D2",793,0.421013133208256,"AW-1-T-03-M",0.421013133208256,0.664437056920226,4.97824450756079,0.155746863099219,1.94671051554342,0.240976821534801,0.916099122083668,0.0266216408634715,0.651008433837609,-0.0434909711272784,-0.0183102700205653,3.30418573876132,3.26069476763404
"45","AW-1-T-03-T-D2","AW-1",1,"T",3,"T","D2",793,0.47104937335759,"AW-1-T-03-T",0.47104937335759,0.616051307161598,4.24633435217438,0.181323775451117,1.81738135002582,0.28652056643621,0.757906201923804,0.00843115654008736,0.616623092095428,0.12960990739188,0.0610526656578804,2.4634464210815,2.59305632847338
"46","AW-1-T-06-L-D2","AW-1",1,"T",6,"L","D2",793,0.430057918170431,"AW-1-T-06-L",0.430057918170431,0.683072485150711,5.26349310591581,0.144668072432309,1.98623712403753,0.231466122474665,0.997296612364712,0.0245376799365377,0.659997445771807,-0.296179917383394,-0.127374518673793,3.33003765283268,3.03385773544929
"47","AW-1-T-06-M-D2","AW-1",1,"T",6,"M","D2",793,0.366409152189705,"AW-1-T-06-M",0.366409152189705,0.692945018835671,5.50322012937059,0.160621140256836,2.21834697516706,0.228491701666502,0.873046381476543,0.0254207337722884,0.682897458357068,-0.135299740510622,-0.0495750632119839,4.29959165877511,4.16429191826449
"48","AW-1-T-06-T-D2","AW-1",1,"T",6,"T","D2",793,0.387132351742368,"AW-1-T-06-T",0.387132351742368,0.719071415098947,6.08002444031145,0.162134976676879,2.29373105516363,0.229922188183212,0.893888612159465,0.022604049336374,0.705992200977231,-0.334436675982308,-0.129471256881931,4.81470611536535,4.48026943938304
"49","AW-1-T-09-L-D2","AW-1",1,"T",9,"L","D2",793,0.427127693403446,"AW-1-T-09-L",0.427127693403446,0.594194926468001,3.90376122833084,0.156694292786091,1.80897599183966,0.259990289363036,0.720249079944275,0.00917329404699632,0.596552622857253,0.0631944709012737,0.0269921085919122,2.12882343267791,2.19201790357918
"50","AW-1-T-09-M-D2","AW-1",1,"T",9,"M","D2",793,0.383794028633397,"AW-1-T-09-M",0.383794028633397,0.623655093899085,4.30796568423686,0.155298665024332,1.9178173262211,0.24392279463931,0.760860182988052,0.00186534314027669,0.620171218369126,-0.0105891930994284,-0.0040640690796066,2.97392917611171,2.96333998301228
"51","AW-1-T-09-T-D2","AW-1",1,"T",9,"T","D2",793,0.428414121405251,"AW-1-T-09-T",0.428414121405251,0.627321406186451,4.3788202740462,0.160898642989537,1.91844315188137,0.257171113056695,0.725721636168421,0.0111264174350899,0.628550102932983,0.00295010439633536,0.00126386638300978,2.67692367123344,2.67987377562977
"52","AW-1-T-12-L-D2","AW-1",1,"T",12,"L","D2",793,0.420382208021269,"AW-1-T-12-L",0.420382208021269,0.639255269820931,4.57210097919923,0.172269304081212,2.01905106027866,0.262405177122751,0.782417046145549,0.00439463795229941,0.641627481466788,0.0661258958362012,0.0277981500990067,3.09899264133201,3.16511853716821
"53","AW-1-T-12-M-D2","AW-1",1,"T",12,"M","D2",793,0.415722875693785,"AW-1-T-12-M",0.415722875693785,0.576790310301409,3.69896285604789,0.152623185529078,1.78476867011767,0.257671270731777,0.623745151317876,-6.98352721988642e-05,0.597868168249185,0.0513169786781171,0.0213336419479835,2.16648227717433,2.21779925585245
"54","AW-1-T-12-T-D2","AW-1",1,"T",12,"T","D2",793,0.427020418118755,"AW-1-T-12-T",0.427020418118755,0.639358487118573,4.54844633281951,0.206858193356903,2.20034356631767,0.306681209775046,0.799743599135174,0.00473597668063843,0.630227109758258,-0.19577643882489,-0.0836005367648053,2.99097318829602,2.79519674947113
