"","ID","Location","Tapping","Tree_num","C_pos.","Coordinates","Tree_ID","lat","lon"
"45057","LLT-2-I-03-L-D1","LLT-2","I",3,"L","12° 40.4540' N  36° 16.7241' E","LLT-2-I-03-L",12.6742333333333,36.278735
"45313","LLT-2-I-06-T-D1","LLT-2","I",6,"T","12° 40.4592' N  36° 16.7222' E","LLT-2-I-06-T",12.67432,36.2787033333333
"45569","LLT-2-I-06-M-D1","LLT-2","I",6,"M","12° 40.4592' N  36° 16.7222' E","LLT-2-I-06-M",12.67432,36.2787033333333
"45825","LLT-2-I-06-L-D1","LLT-2","I",6,"L","12° 40.4592' N  36° 16.7222' E","LLT-2-I-06-L",12.67432,36.2787033333333
"46081","LLT-2-I-09-T-D1","LLT-2","I",9,"T","12° 40.4592' N  36° 16.7222' E","LLT-2-I-09-T",12.67432,36.2787033333333
"46337","LLT-2-I-09-M-D1","LLT-2","I",9,"M","12° 40.4609' N  36° 16.7219' E","LLT-2-I-09-M",12.6743483333333,36.2786983333333
"46593","LLT-2-I-09-L-D1","LLT-2","I",9,"L","12° 40.4609' N  36° 16.7219' E","LLT-2-I-09-L",12.6743483333333,36.2786983333333
"46849","LLT-2-I-12-T-D1","LLT-2","I",12,"T","12° 40.4556' N  36° 16.7150' E","LLT-2-I-12-T",12.67426,36.2785833333333
"47105","LLT-2-I-12-M-D1","LLT-2","I",12,"M","12° 40.4556' N  36° 16.7150' E","LLT-2-I-12-M",12.67426,36.2785833333333
"47361","LLT-2-I-12-L-D1","LLT-2","I",12,"L","12° 40.4556' N  36° 16.7150' E","LLT-2-I-12-L",12.67426,36.2785833333333
"47617","LLT-2-I-15-T-D1","LLT-2","I",15,"T","12° 40.4476' N  36° 16.7122' E","LLT-2-I-15-T",12.6741266666667,36.2785366666667
"47873","LLT-2-I-15-M-D1","LLT-2","I",15,"M","12° 40.4476' N  36° 16.7122' E","LLT-2-I-15-M",12.6741266666667,36.2785366666667
"48129","LLT-2-I-15-L-D1","LLT-2","I",15,"L","12° 40.4476' N  36° 16.7122' E","LLT-2-I-15-L",12.6741266666667,36.2785366666667
"48385","LLT-2-I-18-T-D1","LLT-2","I",18,"T","12° 40.4618' N  36° 16.7095' E","LLT-2-I-18-T",12.6743633333333,36.2784916666667
"48641","LLT-2-I-18-M-D1","LLT-2","I",18,"M","12° 40.4618' N  36° 16.7095' E","LLT-2-I-18-M",12.6743633333333,36.2784916666667
"48897","LLT-2-I-18-L-D1","LLT-2","I",18,"L","12° 40.4618' N  36° 16.7095' E","LLT-2-I-18-L",12.6743633333333,36.2784916666667
"49153","LLT-2-I-21-T-D1","LLT-2","I",21,"T","12° 40.4507' N  36° 16.7054' E","LLT-2-I-21-T",12.6741783333333,36.2784233333333
"49409","LLT-2-I-21-M-D1","LLT-2","I",21,"M","12° 40.4507' N  36° 16.7054' E","LLT-2-I-21-M",12.6741783333333,36.2784233333333
"49665","LLT-2-I-21-L-D1","LLT-2","I",21,"L","12° 40.4507' N  36° 16.7054' E","LLT-2-I-21-L",12.6741783333333,36.2784233333333
"49921","LLT-2-I-24-T-D1","LLT-2","I",24,"T","12° 40.4539' N  36° 16.7032' E","LLT-2-I-24-T",12.6742316666667,36.2783866666667
"50177","LLT-2-I-24-M-D1","LLT-2","I",24,"M","12° 40.4539' N  36° 16.7032' E","LLT-2-I-24-M",12.6742316666667,36.2783866666667
"50433","LLT-2-I-24-L-D1","LLT-2","I",24,"L","12° 40.4539' N  36° 16.7032' E","LLT-2-I-24-L",12.6742316666667,36.2783866666667
"50689","LLT-2-I-27-T-D1","LLT-2","I",27,"T","12° 40.4518' N  36° 16.7007' E","LLT-2-I-27-T",12.6741966666667,36.278345
